id_number,sentence,item,condition,voice,frequency_syn,synonym,judgment,len
0,1,Il ladro ha preso la malattia.,a,AI,active,high,a_b_high,possible,6
1,2,La malattia ha preso il ladro.,a,AI,active,high,a_b_high,impossible,6
2,3,La malattia è stata presa dal ladro.,a,AI,passive,high,a_b_high,possible,7
3,4,Il ladro è stato preso dalla malattia.,a,AI,passive,high,a_b_high,impossible,7
4,5,Il saccheggiatore ha contratto il morbo.,b,AI,active,low,a_b_low,possible,6
5,6,Il morbo ha contratto il saccheggiatore.,b,AI,active,low,a_b_low,impossible,6
6,7,Il morbo è stato contratto dal saccheggiatore.,b,AI,passive,low,a_b_low,possible,7
7,8,Il saccheggiatore è stato contratto dal morbo.,b,AI,passive,low,a_b_low,impossible,7
8,9,Il detenuto temeva la prigione.,c,AI,active,high,c_d_high,possible,5
9,10,La prigione temeva il detenuto.,c,AI,active,high,c_d_high,impossible,5
10,11,La prigione era temuta dal detenuto.,c,AI,passive,high,c_d_high,possible,6
11,12,Il detenuto era temuto dalla prigione.,c,AI,passive,high,c_d_high,impossible,6
12,13,Il criminale temeva la galera.,d,AI,active,low,c_d_low,possible,5
13,14,La galera temeva il criminale.,d,AI,active,low,c_d_low,impossible,5
14,15,La galera era temuta dal criminale.,d,AI,passive,low,c_d_low,possible,6
15,16,Il criminale era temuto dalla galera.,d,AI,passive,low,c_d_low,impossible,6
16,17,La prostituta ha sperperato i contanti.,e,AI,active,high,e_f_high,possible,6
17,18,I contanti hanno sperperato la prostituta.,e,AI,active,high,e_f_high,impossible,6
18,19,I contanti sono stati sperperati dalla prostituta.,e,AI,passive,high,e_f_high,possible,7
19,20,La prostituta è stata sperperata dai contanti.,e,AI,passive,high,e_f_high,impossible,7
20,21,La escort ha scialacquato il denaro.,f,AI,active,low,e_f_low,possible,6
21,22,Il denaro ha scialacquato la escort.,f,AI,active,low,e_f_low,impossible,6
22,23,Il denaro è stato scialacquato dalla escort.,f,AI,passive,low,e_f_low,possible,7
23,24,La escort è stata scialacquata dal denaro.,f,AI,passive,low,e_f_low,impossible,7
24,25,L’avventuriero ha ordinato la bevanda.,g,AI,active,,,possible,5
25,26,La bevanda ha ordinato l’avventuriero.,g,AI,active,,,impossible,5
26,27,La bevanda è stata ordinata dall’avventuriero.,g,AI,passive,,,possible,6
27,28,L’avventuriero è stato ordinato dalla bevanda.,g,AI,passive,,,impossible,6
28,29,Il becchino ha preparato il funerale.,h,AI,active,high,h_i_high,possible,6
29,30,Il funerale ha preparato il becchino.,h,AI,active,high,h_i_high,impossible,6
30,31,Il funerale è stato preparato dal becchino.,h,AI,passive,high,h_i_high,possible,7
31,32,Il becchino è stato preparato dal funerale.,h,AI,passive,high,h_i_high,impossible,7
32,33,Il necroforo ha organizzato il servizio funebre.,i,AI,active,low,h_i_low,possible,7
33,34,Il servizio funebre ha organizzato il necroforo.,i,AI,active,low,h_i_low,impossible,7
34,35,Il servizio funebre è stato organizzato dal necroforo.,i,AI,passive,low,h_i_low,possible,8
